Gender,Academic_Year,Sleep_Hours,Study_Hours,Stress_Score
Male,Senior,6.3,6.5,7.4
Female,Senior,6.8,6.7,7.6
Female,Sophomore,6.7,8.4,6.8
Female,Freshman,6.4,5.6,7.1
Male,Freshman,5.9,7.3,8.2
Male,Sophomore,5.5,6.2,6.4
Male,Senior,6.1,6.2,6.4
Female,Senior,6.9,8.1,6.0
Female,Freshman,6.5,7.7,7.1
Female,Junior,5.7,7.7,8.2
Male,Sophomore,6.5,8.5,8.4
Female,Freshman,6.6,6.5,6.9
Female,Freshman,5.9,7.5,8.6
Male,Sophomore,6.5,6.0,6.0
Male,Senior,6.4,7.0,6.1
Male,Sophomore,5.7,6.3,7.3
Male,Junior,6.6,6.6,7.1
Female,Junior,6.7,7.4,7.1
Male,Sophomore,7.0,5.3,5.0
Male,Senior,7.0,9.6,7.5
Female,Senior,5.6,5.0,6.2
Male,Sophomore,5.8,4.7,7.2
Male,Sophomore,6.7,8.2,7.5
Male,Sophomore,6.7,7.7,6.6
Male,Sophomore,6.7,7.4,6.8
Female,Freshman,8.0,7.4,5.7
Male,Junior,6.7,6.5,6.8
Female,Junior,7.1,5.2,6.8
Female,Freshman,7.0,6.6,6.1
Male,Sophomore,6.8,5.5,6.8
Female,Senior,6.2,8.0,7.3
Male,Freshman,6.9,6.3,6.2
Male,Freshman,5.9,5.3,6.9
Female,Sophomore,6.3,6.0,6.3
Female,Senior,6.1,7.1,7.0
Female,Freshman,6.4,5.7,6.0
Male,Junior,7.8,5.3,7.0
Male,Senior,5.3,6.9,7.8
Female,Freshman,6.8,6.9,6.5
Male,Junior,5.4,5.7,7.5
Male,Sophomore,6.1,5.8,6.9
Female,Junior,7.1,6.8,6.5
Male,Junior,6.4,4.3,6.7
Female,Junior,5.8,4.4,7.2
Male,Freshman,6.0,5.4,6.6
Female,Senior,6.8,6.2,6.3
Male,Sophomore,6.0,7.0,7.2
Female,Freshman,6.5,8.7,6.2
Female,Freshman,6.4,7.8,6.5
Male,Junior,6.0,6.3,8.0
Female,Junior,7.7,6.5,7.2
Female,Freshman,6.8,5.0,6.2
Female,Junior,5.2,6.5,8.1
Female,Freshman,6.5,6.1,7.0
Female,Junior,6.0,7.0,9.2
Female,Freshman,6.9,5.3,7.0
Male,Junior,5.9,7.3,7.5
Male,Sophomore,6.3,8.8,7.2
Male,Senior,6.7,6.3,5.8
Male,Freshman,6.9,7.1,7.0
Male,Sophomore,5.7,7.5,7.3
Male,Freshman,6.2,5.9,6.1
Female,Senior,6.1,6.8,6.9
Male,Senior,6.0,6.5,6.6
Male,Sophomore,7.5,6.6,7.4
Female,Junior,6.6,5.3,7.0
Male,Senior,5.6,6.5,7.5
Female,Junior,7.0,7.2,7.7
Male,Junior,7.7,8.7,6.9
Female,Freshman,7.0,7.9,6.5
Female,Freshman,5.5,9.7,9.4
Male,Senior,6.1,5.3,7.1
Male,Senior,7.2,7.8,6.3
Female,Junior,6.0,6.8,7.2
Female,Sophomore,6.7,9.8,7.3
Female,Sophomore,6.9,5.3,5.5
Female,Junior,5.8,5.2,7.5
Male,Senior,6.4,5.6,7.9
Male,Senior,4.5,3.3,6.3
Male,Senior,5.8,5.7,7.5
Female,Junior,6.2,5.4,6.4
Female,Freshman,5.7,6.7,7.2
Male,Freshman,7.4,7.0,6.2
Male,Senior,5.5,9.3,7.9
Male,Junior,6.1,7.9,7.6
Male,Freshman,6.5,5.6,6.2
Female,Freshman,7.3,5.2,6.2
Female,Junior,5.5,7.2,7.7
Female,Freshman,7.1,4.5,5.8
Male,Freshman,6.4,9.2,7.3
Male,Junior,5.8,8.3,7.6
Female,Junior,6.7,5.8,7.1
Female,Junior,6.5,3.9,6.5
Female,Freshman,6.0,8.5,7.3
Female,Junior,6.4,6.3,7.0
Female,Freshman,6.2,8.4,8.1
Female,Sophomore,6.5,4.1,5.2
Male,Junior,6.8,5.6,6.8
Male,Junior,7.4,6.5,6.0
Male,Senior,5.7,6.6,7.8
Male,Junior,7.7,5.8,5.6
Female,Junior,5.2,7.4,6.9
Male,Freshman,6.3,4.9,5.6
Female,Sophomore,6.8,6.3,6.7
Female,Sophomore,6.6,6.7,7.1
Male,Freshman,6.0,7.3,6.9
Male,Senior,6.3,7.6,7.8
Female,Sophomore,6.1,4.8,5.7
Male,Senior,6.0,4.2,6.5
Male,Junior,6.9,8.4,6.5
Male,Senior,6.6,7.0,6.6
Male,Junior,6.0,5.4,6.9
Female,Junior,6.9,8.8,6.9
Female,Sophomore,6.6,6.7,6.7
Female,Freshman,6.9,8.3,7.8
Female,Junior,6.8,6.6,6.4
Female,Sophomore,5.9,9.6,8.7
Male,Freshman,6.1,9.1,7.3
Female,Junior,6.8,6.1,7.0
Female,Freshman,6.8,8.0,8.1
